[?1034hBID = 1.35805 , ASK = 0 , AVG = 1.35805
BID = 1.35805 , ASK = 0 , AVG = 1.35803854159
BID = 1.35805 , ASK = 0 , AVG = 1.35796997432
BID = 1.35805 , ASK = 0 , AVG = 1.35796111766
BID = 1.35805 , ASK = 0 , AVG = 1.35792602537
BID = 1.35805 , ASK = 1.3581 , AVG = 1.35793035846
BID = 1.35805 , ASK = 1.35815 , AVG = 1.35796590273
BID = 1.35805 , ASK = 1.3582 , AVG = 1.35801404996
BID = 1.35805 , ASK = 1.35825 , AVG = 1.35803094501
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35804320351
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35804320351
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35804320351
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35803571863
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35804548157
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35805221486
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35804320351
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35804287907
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35804092544
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35806971361
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35806634555
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35807225188
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35807359247
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35806717534
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35806392991
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35806971361
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35807359247
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35806463707
BID = 1.358 , ASK = 1.3583 , AVG = 1.35805393313
BID = 1.358 , ASK = 1.3583 , AVG = 1.35804160437
BID = 1.358 , ASK = 1.3583 , AVG = 1.35805361972
BID = 1.358 , ASK = 1.3583 , AVG = 1.35805808614
BID = 1.358 , ASK = 1.3583 , AVG = 1.35803636931
BID = 1.358 , ASK = 1.3583 , AVG = 1.35803478448
BID = 1.358 , ASK = 1.3583 , AVG = 1.35803864738
BID = 1.358 , ASK = 1.3583 , AVG = 1.35803852014
BID = 1.358 , ASK = 1.3583 , AVG = 1.35803924967
BID = 1.358 , ASK = 1.3583 , AVG = 1.35803954721
BID = 1.358 , ASK = 1.3583 , AVG = 1.35803935446
BID = 1.358 , ASK = 1.3583 , AVG = 1.35804258685
BID = 1.358 , ASK = 1.3583 , AVG = 1.35803822098
BID = 1.358 , ASK = 1.3583 , AVG = 1.35804258685
BID = 1.358 , ASK = 1.3583 , AVG = 1.3580370875
BID = 1.358 , ASK = 1.3583 , AVG = 1.35803884888
BID = 1.358 , ASK = 1.3583 , AVG = 1.35803482054
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35804321183
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35805941006
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35804191317
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35804142708
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35807085898
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35806654566
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35803822098
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35803848209
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35803935446
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35803678799
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35804048794
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35804291551
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35803935446
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35806780791
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35804558861
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35803968742
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35804558861
BID = 1.35805 , ASK = 1.3583 , AVG = 1.3580453791
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35804332164
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35803736787
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35804332164
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35803736787
BID = 1.358 , ASK = 1.3583 , AVG = 1.35803099448
BID = 1.358 , ASK = 1.3583 , AVG = 1.35802131951
BID = 1.358 , ASK = 1.3583 , AVG = 1.3580287425
BID = 1.358 , ASK = 1.3583 , AVG = 1.35801514033
BID = 1.358 , ASK = 1.3583 , AVG = 1.35802291899
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35802878459
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35804303384
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35803150541
