Server Version:69
TWS Time at connection:20131031 16:49:31 EST
1383252582104: Buy Book | Sell Book
1.35805 3000000 | 0.00000 0
0.00000 0 | 0.00000 0
0.00000 0 | 0.00000 0
0.00000 0 | 0.00000 0
0.00000 0 | 0.00000 0
1383252582106: Buy Book | Sell Book
1.35805 3000000 | 0.00000 0
1.35800 891900 | 0.00000 0
0.00000 0 | 0.00000 0
0.00000 0 | 0.00000 0
0.00000 0 | 0.00000 0
1383252582114: Buy Book | Sell Book
1.35805 3000000 | 0.00000 0
1.35800 891900 | 0.00000 0
1.35795 13360000 | 0.00000 0
0.00000 0 | 0.00000 0
0.00000 0 | 0.00000 0
1383252582116: Buy Book | Sell Book
1.35805 3000000 | 0.00000 0
1.35800 891900 | 0.00000 0
1.35795 13360000 | 0.00000 0
1.35790 2500000 | 0.00000 0
0.00000 0 | 0.00000 0
1383252582118: Buy Book | Sell Book
1.35805 3000000 | 0.00000 0
1.35800 891900 | 0.00000 0
1.35795 13360000 | 0.00000 0
1.35790 2500000 | 0.00000 0
1.35780 5500000 | 0.00000 0
1383252582122: Buy Book | Sell Book
1.35805 3000000 | 1.35810 645000
1.35800 891900 | 0.00000 0
1.35795 13360000 | 0.00000 0
1.35790 2500000 | 0.00000 0
1.35780 5500000 | 0.00000 0
1383252582124: Buy Book | Sell Book
1.35805 3000000 | 1.35810 645000
1.35800 891900 | 1.35815 5000000
1.35795 13360000 | 0.00000 0
1.35790 2500000 | 0.00000 0
1.35780 5500000 | 0.00000 0
1383252582126: Buy Book | Sell Book
1.35805 3000000 | 1.35810 645000
1.35800 891900 | 1.35815 5000000
1.35795 13360000 | 1.35820 8000000
1.35790 2500000 | 0.00000 0
1.35780 5500000 | 0.00000 0
1383252582129: Buy Book | Sell Book
1.35805 3000000 | 1.35810 645000
1.35800 891900 | 1.35815 5000000
1.35795 13360000 | 1.35820 8000000
1.35790 2500000 | 1.35825 3000000
1.35780 5500000 | 0.00000 0
1383252582130: Buy Book | Sell Book
1.35805 3000000 | 1.35810 645000
1.35800 891900 | 1.35815 5000000
1.35795 13360000 | 1.35820 8000000
1.35790 2500000 | 1.35825 3000000
1.35780 5500000 | 1.35830 2000000
1383252582132: Buy Book | Sell Book
1.35805 3000000 | 1.35810 645000
1.35800 891900 | 1.35815 5000000
1.35795 13360000 | 1.35820 8000000
1.35790 2500000 | 1.35825 3000000
1.35780 5500000 | 1.35830 2000000
1383252582134: Buy Book | Sell Book
1.35805 3000000 | 1.35810 645000
1.35800 891900 | 1.35815 5000000
1.35795 13360000 | 1.35820 8000000
1.35790 2500000 | 1.35825 3000000
1.35780 5500000 | 1.35830 2000000
1383252586711: Buy Book | Sell Book
1.35805 3000000 | 1.35810 645000
1.35800 891900 | 1.35815 5000000
1.35795 13360000 | 1.35820 6000000
1.35790 2500000 | 1.35825 3000000
1.35780 5500000 | 1.35830 2000000
1383252586715: Buy Book | Sell Book
1.35805 3000000 | 1.35810 645000
1.35800 891900 | 1.35815 5000000
1.35795 13360000 | 1.35820 6000000
1.35790 2500000 | 1.35825 5000000
1.35780 5500000 | 1.35830 2000000
1383252586785: Buy Book | Sell Book
1.35805 3000000 | 1.35810 645000
1.35800 891900 | 1.35815 5000000
1.35795 13360000 | 1.35820 8000000
1.35790 2500000 | 1.35825 5000000
1.35780 5500000 | 1.35830 2000000
1383252586787: Buy Book | Sell Book
1.35805 3000000 | 1.35810 645000
1.35800 891900 | 1.35815 5000000
1.35795 13360000 | 1.35820 8000000
1.35790 2500000 | 1.35825 3000000
1.35780 5500000 | 1.35830 2000000
1383252586846: Buy Book | Sell Book
1.35805 1000000 | 1.35810 645000
1.35800 891900 | 1.35815 5000000
1.35795 13360000 | 1.35820 8000000
1.35790 2500000 | 1.35825 3000000
1.35780 5500000 | 1.35830 2000000
1383252586850: Buy Book | Sell Book
1.35805 1000000 | 1.35810 645000
1.35800 2891900 | 1.35815 5000000
1.35795 13360000 | 1.35820 8000000
1.35790 2500000 | 1.35825 3000000
1.35780 5500000 | 1.35830 2000000
1383252586902: Buy Book | Sell Book
1.35805 1000000 | 1.35810 645000
1.35800 2891900 | 1.35815 5000000
1.35795 13360000 | 1.35820 8000000
1.35790 2500000 | 1.35825 3000000
1.35785 1000000 | 1.35830 2000000
1383252586905: Buy Book | Sell Book
1.35805 1000000 | 1.35810 645000
1.35800 4891900 | 1.35815 5000000
1.35795 13360000 | 1.35820 8000000
1.35790 2500000 | 1.35825 3000000
1.35785 1000000 | 1.35830 2000000
1383252586908: Buy Book | Sell Book
1.35805 1000000 | 1.35810 645000
1.35800 4891900 | 1.35815 5000000
1.35795 11360000 | 1.35820 8000000
1.35790 2500000 | 1.35825 3000000
1.35785 1000000 | 1.35830 2000000
1383252586910: Buy Book | Sell Book
1.35805 1000000 | 1.35810 2645000
1.35800 4891900 | 1.35815 5000000
1.35795 11360000 | 1.35820 8000000
1.35790 2500000 | 1.35825 3000000
1.35785 1000000 | 1.35830 2000000
1383252586914: Buy Book | Sell Book
1.35805 1000000 | 1.35810 2645000
1.35800 4891900 | 1.35815 5000000
1.35795 11360000 | 1.35820 6000000
1.35790 2500000 | 1.35825 3000000
1.35785 1000000 | 1.35830 2000000
1383252586917: Buy Book | Sell Book
1.35805 1000000 | 1.35810 2645000
1.35800 6891900 | 1.35815 5000000
1.35795 11360000 | 1.35820 6000000
1.35790 2500000 | 1.35825 3000000
1.35785 1000000 | 1.35830 2000000
1383252586918: Buy Book | Sell Book
1.35805 1000000 | 1.35810 2645000
1.35800 6891900 | 1.35815 5000000
1.35795 9360000 | 1.35820 6000000
1.35790 2500000 | 1.35825 3000000
1.35785 1000000 | 1.35830 2000000
1383252586920: Buy Book | Sell Book
1.35805 1000000 | 1.35810 2645000
1.35800 6891900 | 1.35815 7000000
1.35795 9360000 | 1.35820 6000000
1.35790 2500000 | 1.35825 3000000
1.35785 1000000 | 1.35830 2000000
1383252586922: Buy Book | Sell Book
1.35805 1000000 | 1.35810 2645000
1.35800 6891900 | 1.35815 7000000
1.35795 9360000 | 1.35820 6000000
1.35790 2500000 | 1.35825 1000000
1.35785 1000000 | 1.35830 2000000
1383252586924: Buy Book | Sell Book
1.35800 7891900 | 1.35810 2645000
1.35800 6891900 | 1.35815 7000000
1.35795 9360000 | 1.35820 6000000
1.35790 2500000 | 1.35825 1000000
1.35785 1000000 | 1.35830 2000000
1383252586926: Buy Book | Sell Book
1.35800 7891900 | 1.35810 2645000
1.35795 9360000 | 1.35815 7000000
1.35795 9360000 | 1.35820 6000000
1.35790 2500000 | 1.35825 1000000
1.35785 1000000 | 1.35830 2000000
1383252586928: Buy Book | Sell Book
1.35800 7891900 | 1.35810 2645000
1.35795 9360000 | 1.35815 7000000
1.35790 2500000 | 1.35820 6000000
1.35790 2500000 | 1.35825 1000000
1.35785 1000000 | 1.35830 2000000
1383252586929: Buy Book | Sell Book
1.35800 7891900 | 1.35810 2645000
1.35795 9360000 | 1.35815 7000000
1.35790 2500000 | 1.35820 6000000
1.35785 1000000 | 1.35825 1000000
1.35785 1000000 | 1.35830 2000000
1383252586931: Buy Book | Sell Book
1.35800 7891900 | 1.35810 2645000
1.35795 9360000 | 1.35815 7000000
1.35790 2500000 | 1.35820 6000000
1.35785 1000000 | 1.35825 1000000
1.35780 4500000 | 1.35830 2000000
1383252586952: Buy Book | Sell Book
1.35800 9891900 | 1.35810 2645000
1.35795 9360000 | 1.35815 7000000
1.35790 2500000 | 1.35820 6000000
1.35785 1000000 | 1.35825 1000000
1.35780 4500000 | 1.35830 2000000
1383252586955: Buy Book | Sell Book
1.35800 9891900 | 1.35810 2645000
1.35795 7360000 | 1.35815 7000000
1.35790 2500000 | 1.35820 6000000
1.35785 1000000 | 1.35825 1000000
1.35780 4500000 | 1.35830 2000000
1383252586960: Buy Book | Sell Book
1.35800 10036900 | 1.35810 2645000
1.35795 7360000 | 1.35815 7000000
1.35790 2500000 | 1.35820 6000000
1.35785 1000000 | 1.35825 1000000
1.35780 4500000 | 1.35830 2000000
1383252586963: Buy Book | Sell Book
1.35800 10036900 | 1.35810 2645000
1.35795 7000000 | 1.35815 7000000
1.35790 2500000 | 1.35820 6000000
1.35785 1000000 | 1.35825 1000000
1.35780 4500000 | 1.35830 2000000
1383252586965: Buy Book | Sell Book
1.35800 10036900 | 1.35810 2860000
1.35795 7000000 | 1.35815 7000000
1.35790 2500000 | 1.35820 6000000
1.35785 1000000 | 1.35825 1000000
1.35780 4500000 | 1.35830 2000000
1383252586967: Buy Book | Sell Book
1.35800 10251900 | 1.35810 2860000
1.35795 7000000 | 1.35815 7000000
1.35790 2500000 | 1.35820 6000000
1.35785 1000000 | 1.35825 1000000
1.35780 4500000 | 1.35830 2000000
1383252586968: Buy Book | Sell Book
1.35800 10251900 | 1.35810 2860000
1.35795 7000000 | 1.35815 7000000
1.35790 1500000 | 1.35820 6000000
1.35785 1000000 | 1.35825 1000000
1.35780 4500000 | 1.35830 2000000
1383252586969: Buy Book | Sell Book
1.35800 10251900 | 1.35810 2860000
1.35795 7000000 | 1.35815 7000000
1.35790 1500000 | 1.35820 6000000
1.35785 2000000 | 1.35825 1000000
1.35780 4500000 | 1.35830 2000000
1383252587050: Buy Book | Sell Book
1.35800 10251900 | 1.35810 2860000
1.35795 7000000 | 1.35815 7000000
1.35790 1500000 | 1.35820 6000000
1.35785 1000000 | 1.35825 1000000
1.35780 4500000 | 1.35830 2000000
1383252587054: Buy Book | Sell Book
1.35800 10251900 | 1.35810 2860000
1.35795 7000000 | 1.35815 7000000
1.35790 1500000 | 1.35820 6000000
1.35785 1000000 | 1.35825 1000000
1.35780 5500000 | 1.35830 2000000
1383252587400: Buy Book | Sell Book
1.35800 8251900 | 1.35810 2860000
1.35795 7000000 | 1.35815 7000000
1.35790 1500000 | 1.35820 6000000
1.35785 1000000 | 1.35825 1000000
1.35780 5500000 | 1.35830 2000000
1383252587405: Buy Book | Sell Book
1.35800 8251900 | 1.35810 2860000
1.35795 9000000 | 1.35815 7000000
1.35790 1500000 | 1.35820 6000000
1.35785 1000000 | 1.35825 1000000
1.35780 5500000 | 1.35830 2000000
1383252590881: Buy Book | Sell Book
1.35805 2000000 | 1.35810 2860000
1.35795 9000000 | 1.35815 7000000
1.35790 1500000 | 1.35820 6000000
1.35785 1000000 | 1.35825 1000000
1.35780 5500000 | 1.35830 2000000
1383252590888: Buy Book | Sell Book
1.35805 2000000 | 1.35810 2860000
1.35800 6251900 | 1.35815 7000000
1.35790 1500000 | 1.35820 6000000
1.35785 1000000 | 1.35825 1000000
1.35780 5500000 | 1.35830 2000000
1383252590889: Buy Book | Sell Book
1.35805 2000000 | 1.35810 2860000
1.35800 6251900 | 1.35815 7000000
1.35795 9000000 | 1.35820 6000000
1.35785 1000000 | 1.35825 1000000
1.35780 5500000 | 1.35830 2000000
1383252590891: Buy Book | Sell Book
1.35805 2000000 | 1.35810 2860000
1.35800 6251900 | 1.35815 7000000
1.35795 9000000 | 1.35820 6000000
1.35790 1500000 | 1.35825 1000000
1.35780 5500000 | 1.35830 2000000
1383252590906: Buy Book | Sell Book
1.35805 2000000 | 1.35810 2860000
1.35800 6251900 | 1.35815 7000000
1.35795 9000000 | 1.35820 6000000
1.35790 1500000 | 1.35825 1000000
1.35785 1000000 | 1.35830 2000000
1383252590980: Buy Book | Sell Book
1.35805 2000000 | 1.35810 2860000
1.35800 6251900 | 1.35815 7000000
1.35795 9000000 | 1.35820 6000000
1.35790 2500000 | 1.35825 1000000
1.35785 1000000 | 1.35830 2000000
